ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-550619,works,1,other,Извършване на ремонтни дейности на покрив и вътрешни помещения в сградата на СУ „Христо Ботев“ гр. Козлодуй,116778.24,BG313,гр. Козлодуй,"ул. ""Хан Аспарух"" № 5","СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",204503129,НИКИ СТРОЙ 17 ЕООД,,2,152,0,0
ocds-e82gsb-427414,services,0,other,Приготвяне и доставка на храна по диети за стационарно болни пациенти по клиники и отделения на УМБАЛ „Света Анна“ – Соф,309594.8,BG411,гр. София,ДИМИТЪР МОЛЛОВ №1,"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТА АННА"" СОФИЯ АД",130015233,ЛФС ЕООД,,12,364,0,1
ocds-e82gsb-532185,services,0,other,„ПРЕДОСТАВЯНЕ НА УСЛУГИ ПО ЗАСТРАХОВАНЕ ЗА НУЖДИТЕ НА БЪЛГАРСКИ ИНСТИТУТ ПО МЕТРОЛОГИЯ ЗА 2026 Г.“,27829.59,BG411,гр.София,бул. Д-р Г.М.Димитров №52Б,БЪЛГАРСКИ ИНСТИТУТ ПО МЕТРОЛОГИЯ,000694286,"ЗАСТРАХОВАТЕЛНО ЕДНОЛИЧНО АКЦИОНЕРНО ДРУЖЕСТВО ""БУЛСТРАД ВИЕНА ИНШУРЪНС ГРУП"" ЕАД",,1,365,0,1
ocds-e82gsb-516746,services,1,roads,"„Изготвяне на инвестиционни проекти за благоустрояване на терени, основни ремонти на улици и паркови алеи, собственост н",4315.3,BG343,гр.Ямбол,ул. Г.С.РАКОВСКИ №.7,ОБЩИНА ЯМБОЛ,не се публикува,Реджеп Топал,,12,224,61,0
ocds-e82gsb-508859,goods,0,other,„Периодична доставка на лекарствени продукти от анатомо-терапевтична група В за нуждите на “МБАЛ - ШУМЕН” АД по обособен,166117.55,BG333,гр. Шумен,ул. ВАСИЛ АПРИЛОВ №.63,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ШУМЕН АД,131268894,МЕДЕКС ООД,,12,730,5,0
ocds-e82gsb-543178,goods,0,other,„Доставка на готови единично опаковани закуски и готов топъл обяд за учениците от СУ „Елин Пелин” с.Руен по обособени по,45710,BG341,с.Руен,"с.Руен, общ.Руен, обл.Бургас, ул.Първи май №12","СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",102851100,ЕТ ЕБАЗИР-68 - ЕБАЗИР ХАМИД,,1,352,0,0
ocds-e82gsb-519538,works,1,other,Извършване на ремонтно - възстановителни работи (РВР) за подобряване на проводимостта на съществуващи 35 хидромелиоратив,1637251.12,BG411,гр. София,"бул. ""Цар Борис"" ІІІ № 136, ет. 3",НАПОИТЕЛНИ СИСТЕМИ ЕАД,175251156,ЛЮНИК ЕООД,,12,1176,0,1
ocds-e82gsb-532637,services,1,roads,"„Снегопочистване и зимно поддържане на улична мрежа и общинска пътна мрежа, разположена на територията на община Димитро",32211.39,BG422,гр. Димитровград,бул. Г. С. РАКОВСКИ № 15,ОБЩИНА ДИМИТРОВГРАД,126729838,ЕКО ТРАДЕКС ГРУП АД,,1,115,0,1
ocds-e82gsb-535092,works,0,other,",,СМР по изграждане на централна климатична инсталация на етаж 4 в източното крило на Хирургичен блок, сграда с идентифи",41547.82,BG421,гр. Пловдив,"бул.""Пещерско шосе"" №.66","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТИ ГЕОРГИ"" ЕАД",200523814,ИНДЖОВСТРОЙ ЕООД,,12,304,0,0
ocds-e82gsb-532186,works,0,other,Извършване на строително-монтажни работи (СМР) с цел смяна на дограма в поделение „Дружба“ на Столичен автотранспорт ЕАД,714170.95,BG411,гр. София,"ул. ""Житница"" № 21",СТОЛИЧЕН АВТОТРАНСПОРТ ЕАД,812233671,ТЕХНО - ЕНЕРДЖИ ООД,,12,100,0,0
