ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-550619,works,1,other,Извършване на ремонтни дейности на покрив и вътрешни помещения в сградата на СУ „Христо Ботев“ гр. Козлодуй,116778.24,BG313,гр. Козлодуй,"ул. ""Хан Аспарух"" № 5","СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",204503129,НИКИ СТРОЙ 17 ЕООД,,2,152,0,0
ocds-e82gsb-519538,works,1,other,Извършване на ремонтно - възстановителни работи (РВР) за подобряване на проводимостта на съществуващи 35 хидромелиоратив,1637251.12,BG411,гр. София,"бул. ""Цар Борис"" ІІІ № 136, ет. 3",НАПОИТЕЛНИ СИСТЕМИ ЕАД,175251156,ЛЮНИК ЕООД,,12,1176,0,1
ocds-e82gsb-535092,works,0,other,",,СМР по изграждане на централна климатична инсталация на етаж 4 в източното крило на Хирургичен блок, сграда с идентифи",41547.82,BG421,гр. Пловдив,"бул.""Пещерско шосе"" №.66","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТИ ГЕОРГИ"" ЕАД",200523814,ИНДЖОВСТРОЙ ЕООД,,12,304,0,0
ocds-e82gsb-532186,works,0,other,Извършване на строително-монтажни работи (СМР) с цел смяна на дограма в поделение „Дружба“ на Столичен автотранспорт ЕАД,714170.95,BG411,гр. София,"ул. ""Житница"" № 21",СТОЛИЧЕН АВТОТРАНСПОРТ ЕАД,812233671,ТЕХНО - ЕНЕРДЖИ ООД,,12,100,0,0
ocds-e82gsb-457817,works,0,other,"Избор на изпълнители за инженеринг (проектиране, авторски надзор и изпълнение на СМР/СРР) за енергийно обновяване на мно",958672.28,BG411,гр. София,"ж.к. ЗАХАРНА ФАБРИКА № 10, бл. 51-А, вх. Б","РАЙОН ""ИЛИНДЕН""",175015871,ТАНДЕМ 1 ЕООД,,6,214,151,1
ocds-e82gsb-460627,works,0,parks,"Определяне на изпълнител за поддържане на озеленени площи за широко и ограничено обществено ползване, включително изграж",67500,BG341,гр. Бургас,ул. Александровска № 26,ОБЩИНА БУРГАС,181491907,"ДРУЖЕСТВО ПО ЗЗД ""ЦЕНТЪР - ВДХ""",,3,22,0,0
ocds-e82gsb-514816,works,0,other,Изграждане на сгради и околно пространство на обекти за резиденти грижи за пълнолетни лица с интелектуални затруднения в,520168.82,BG421,гр. Карлово,ул. ПЕТКО СЪБЕВ № 1,ОБЩИНА КАРЛОВО,203587156,РОТО ИНЖЕНЕРИНГ ЕООД,,1,145,0,0
ocds-e82gsb-550969,works,1,other,"„Извършване на текущ ремонт на коритото на плувен басейн, съблекални, душове и санитарни помещения към тях и текущ ремон",151473.83,BG423,гр.Велинград,ул. ХАН АСПАРУХ №.35,ОБЩИНА ВЕЛИНГРАД,201332388,Делчев Инженеринг ООД,,3,122,0,0
ocds-e82gsb-527161,works,1,other,Ремонт на клиника „КИТ” в МБАЛ-София-ВМА,1532987.99,BG411,София,ул. Св. Георги Софийски № 3,Военномедицинска академия,103029862,ХИДРОСТРОЙ АД,,11,264,0,0
ocds-e82gsb-416446,works,0,other,"Инженеринг – проектиране, СМР и авторски надзор за обекти по 4 обособени позиции",42764.45,BG334,гр. Попово,ул. Александър Стамболийски № 1,ОБЩИНА ПОПОВО,202623336,ТЕКОМ ИНВЕСТ ЕООД,,12,120,70,1
ocds-e82gsb-527193,works,1,other,Ремонт на клиника „Хирургия” в МБАЛ-Варна-ВМА,1275505.16,BG411,София,ул. Св. Георги Софийски № 3,Военномедицинска академия,812233671,ТЕХНО - ЕНЕРДЖИ ООД,,12,179,0,0
ocds-e82gsb-537733,works,1,roads,"„Направа на нови и ремонт на тротоари с бетонова настилка от сулфатоустойчив бетон или тротоарни плочи, бетонови площадк",161909.09,BG421,гр. Пловдив,"бул. ""Освобождение"" № 63","ОБЩИНА ПЛОВДИВ - РАЙОН ""ТРАКИЯ""",115816551,ЗАПРЯНОВИ - 03 ООД,,12,385,0,0
ocds-e82gsb-409466,works,0,other,„ПРЕУСТРОЙСТВО НА СТАР ХРАНИТЕЛЕН БЛОК В УНИВЕРСАЛЕН УЧЕБЕН КОРПУС“,818013.67,BG411,София,бул. Асен Йорданов №2,Национална Гвардейска Част,206298769,ГРАДИВ 77 ЕООД,,11,880,0,1
ocds-e82gsb-452432,works,1,parks,"„Ремонт на открити спортни площадки в ОУ „Неофит Рилски“, гр. Дупница, общ. Дупница“",62388.86,BG415,гр.Дупница,ул.БРАТЯ МИЛАДИНОВИ №.3,"ОСНОВНО УЧИЛИЩЕ ""НЕОФИТ РИЛСКИ""",207769163,СПА БИЛД ЕООД,,2,424,0,1
ocds-e82gsb-541144,works,1,other,Ремонт на „Централна стерилизация” - I етап в МБАЛ-София-ВМА,890734.92,BG411,София,ул. Св. Георги Софийски № 3,Военномедицинска академия,103029862,ХИДРОСТРОЙ АД,,12,177,0,0
ocds-e82gsb-517614,works,1,lighting,"„Рехабилитация, модернизация и изграждане на интелигентна система за управление и мониторинг на системата за външно изку",1255735.03,BG331,гр.Варна,бул. ОСМИ ПРИМОРСКИ ПОЛК №.43,ОБЩИНА ВАРНА,181483312,Лайт В,,12,147,61,1
ocds-e82gsb-513238,works,1,other,„Извършване на строително-ремонтни дейности за изграждане на асансьор в сградата на 105. СРЕДНО УЧИЛИЩЕ „АТАНАС ДАЛЧЕВ“,39877.39,BG411,гр.София,ул. СВ. ПИМЕН ЗОГРАФСКИ №.7,"105 СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",831752845,ТИДЕКС ЕООД,,10,109,0,1
ocds-e82gsb-90128,works,0,other,"Проектиране и изпълнение на СМР в рамките на проект ""Подобряване на енергийната ефективност на многофамилни жилищни сгра",400399.32,BG421,гр. Пловдив,пл. СТЕФАН СТАМБОЛОВ № 1,ОБЩИНА ПЛОВДИВ,202027635,""" ЕКОДИН "" ЕООД",,6,852,58,1
ocds-e82gsb-550836,works,0,other,Изпълнение на строително-монтажни работи за изграждане на STEM помещения ОУ „Иван Вазов“ гр. Берковица,18771.02,BG312,гр.Берковица,ул. Ашиклар № 1,"ТРЕТО ОСНОВНО УЧИЛИЩЕ ""ИВАН ВАЗОВ""",204396905,ЕВРОПАВИМЕНТИ ПЛЮС ООД,,2,19,0,0
ocds-e82gsb-500663,works,0,other,"„Инженеринг – проектиране, изпълнение на строително-монтажни работи и упражняване на авторски надзор за обект „Подкрепа ",964143.1,BG415,гр.Бобов дол,кв.МИНЬОР ул.27- ОКТОМВРИ №.2,ОБЩИНА БОБОВ ДОЛ,203686179,МАРБЪЛ СТРОЙ ЕООД,,12,481,0,0
ocds-e82gsb-441655,works,1,other,"Избор на изпълнител за извършване на СМР по проект: „Вътрешно преустройство, реконструкция, пристрояване и обзавеждане н",1408470.77,BG315,гр. Угърчин,"пл. ""Свобода"" №1",ОБЩИНА УГЪРЧИН,113580690,НИВЕЛ СТРОЙ ЕООД,,4,449,0,1
ocds-e82gsb-389950,works,1,parks,"„Изпълнение на строително-монтажни работи на обект: „Реконструкция, обновяване и модернизация на съоръжения и паркова ср",235138.45,BG321,гр. Павликени,бул. РУСКИ № 4,ОБЩИНА ПАВЛИКЕНИ,204173980,Стройгруп - Трявна ЕООД,,10,270,0,1
ocds-e82gsb-535846,works,1,other,"“Частичен ремонт на покрив сектор административен блок на МБАЛ""Д-р Тота Венкова"" АД, гр.Габрово ”",55210,BG322,гр. Габрово,ул. Д-Р ИЛИЕВ ДЕТСКИЯТ №.1,"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""Д-Р ТОТА ВЕНКОВА"" АД",205907950,ИВ БИЛД БГ ЕООД,,1,31,0,0
ocds-e82gsb-422487,works,1,other,ТЕКУЩ РЕМОНТ НА ПОКРИВ И ПОМЕЩЕНИЯ НА КОРПУС А НА „ХИМИКОТЕХНОЛОГИЧЕН И МЕТАЛУРГИЧЕН УНИВЕРСИТЕТ“ – СОФИЯ,1001814.69,BG411,гр.София,бул. КЛИМЕНТ ОХРИДСКИ №.8,ХИМИКОТЕХНОЛОГИЧЕН И МЕТАЛУРГИЧЕН УНИВЕРСИТЕТ (ХТМУ),812233671,ТЕХНО - ЕНЕРДЖИ ООД,,1,475,0,1
ocds-e82gsb-278466,works,1,other,"Реконструкция, пристрояване, преустройство и промяна предназначение на сграда с ид. 56784.510.1051.4 и част от сграда с ",3936875.22,BG421,гр. Пловдив,"бул.""Пещерско шосе"" №.66","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТИ ГЕОРГИ"" ЕАД",202737005,АРХ СИТИСТРОЙ ЕООД,,6,977,0,1
ocds-e82gsb-529463,works,1,roads,“Възстановяване на улични настилки след отстранени ВиК аварии и извършени реконструкции на ВиК мрежата експлоатирана от ,152990,BG315,гр. Ловеч,ул.РАЙНА КНЯГИНЯ 1А,В И К АД,820122788,СИРС - СТОЯНОВА ООД,,5,365,0,0
ocds-e82gsb-71462,works,0,other,“Извършване на строително-монтажни работи за нуждите на СПЕШНИ ОТДЕЛЕНИЯ НА БОЛНИЦИ на територията на Северозападен райо,257914.67,BG411,гр.София,пл. СВЕТА НЕДЕЛЯ №.5,МИНИСТЕРСТВО НА ЗДРАВЕОПАЗВАНЕТО,200720669,МЕДИЯ ИНТЕР ГРУП ЕООД,,7,396,0,1
